author_name,author_id,field_of_expertise_1,field_of_expertise_2,field_of_expertise_3,field_of_expertise_4,field_of_expertise_5,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Oliver Grau,S3pGBDsAAAAJ,Image & Art Research,Media Art Histories,Digital Humanities,Digital Art,,,,,,,,,,,,,,25,49,51,71,73,119,145,153,191,203,223,240,206,221,223,249,272,249,271,254,49
Fotis Jannidis,H7qp_c0AAAAJ,Digital Humanities,Computational Literary Studies,Quantitative Textanalysis,Stylometry,Narratology,,,,,,,,,,,14,18,8,28,29,36,48,81,79,82,87,109,132,179,191,228,234,277,355,365,396,394,86
Dr Beatrice Alex,1VYnHCMAAAAJ,text mining,information extraction,natural language processing,health records,digital humanities,,,,,,,,,,,,,,,21,31,29,81,50,63,53,57,62,61,63,70,79,82,95,113,542,1603,348
Owen Conlan,2g6sNZYAAAAJ,Personalisation,Personalised Visualisation,Technology Enhanced Learning,Digital Humanities,,,,,,,,,,,,9,24,37,95,103,121,153,176,232,181,198,225,191,190,168,151,195,210,155,173,204,200,34
Matthew Jockers,zmyHfb8AAAAJ,Text Mining,Literature,Digital Humanities,Machine Learning,,,,,,,,,,,,,,,,,,,,,13,25,51,91,148,212,293,334,387,430,449,426,417,68
Beatriz Rodríguez-Labajos,WJSmCDYAAAAJ,ecological economics,environmental justice,gender,creative activism,digital humanities,,,,,,,,,,,,,,,,,,,32,27,40,55,79,122,261,254,302,322,347,433,436,463,118
José Luis Orihuela,PpOHN2YAAAAJ,Digital Culture,Digital Strategy,Digital Humanities,Digital Literacy,Mastodon,,,,,,,,,,,,,,22,46,48,75,147,133,175,170,226,185,237,211,224,272,231,235,176,201,141,25
Christos Papatheodorou,qw_Gwj0AAAAJ,digital humanities,e-science,digital libraries,information retrieval,digital preservation,,,,,,,,,,12,12,22,50,70,88,95,133,152,167,190,195,212,213,240,182,200,203,149,177,134,150,131,15
John Unsworth,tfYqTx8AAAAJ,Digital Humanities,Scholarly Communication,,,,,,,,,16,10,7,15,16,16,16,13,21,36,40,79,69,103,122,149,189,191,219,200,222,252,202,209,249,220,193,26
Thomas Mandl,Quy2i0AAAAAJ,Information Retrieval,Human-Computer Interaction,Digital Humanities,Information Literacy,Hate Speech.,,,,,,,,,10,6,11,36,37,51,91,109,102,145,150,170,162,125,108,95,79,85,93,80,146,158,520,473,114
